ID;sample.nr;vial.nr;rack.nr;CO2.TCD.area;N2O.ECD.area;CH4.FID.area;CO2.TCD.ppm;N2O.ECD.ppm;CH4.FID.ppm;chamber.temp;chamber.A;chamber.V;vial.time;date;chamber.time;site;treatment;border.dist;position;comments;CO2.TCD.mol;N2O.ECD.mol;CH4.FID.mol
417;21_04_18_CS10_1;1;2;3491.1;7307.7;63;444.280833484892;0.429603115283714;2.02599036495338;34.9;0.049087385212341;0.002454369260617;0;21-04-18;8:37;CS10;a1;NA;interrow;no cover;17576.239125737;16995.5724269274;80150.4103644184
418;21_04_18_CS10_2;2;2;3475.1;5640.2;67.4;442.202317545273;0.324949555302077;2.178487505632;34.9;0.049087385212341;0.002454369260617;0;21-04-18;8:38;CS10;a1;NA;interrow;no cover;17494.0107457845;12855.3623234018;86183.365217623
419;21_04_18_CS10_3;3;2;3696.9;6718.1;63.3;471.015744758243;0.392361436421623;2.03638789727238;34.9;0.049087385212341;0.002454369260617;0;21-04-18;8:45;CS10;b1;NA;interrow;field pea;18633.9016628758;15522.2505913;80561.7481953187
420;21_04_18_CS10_4;4;2;3461.1;5563.7;67.5;440.383616098106;0.320201233837584;2.18195334973833;34.9;0.049087385212341;0.002454369260617;0;21-04-18;8:46;CS10;b1;NA;interrow;field pea;17422.0609133261;12667.5134962283;86320.4778279231
421;21_04_18_CS10_5;5;2;3366.2;5746.2;65;428.05541843124;0.331537214716299;2.09530724708003;34.9;0.049087385212341;0.002454369260617;0;21-04-18;8:48;CS10;c1;NA;interrow;oat;16934.343834733;13115.9773858051;82892.6625704204
422;21_04_18_CS10_6;6;2;3376.8;5553.4;65.5;429.432435241238;0.319562304339292;2.11263646761169;34.9;0.049087385212341;0.002454369260617;0;21-04-18;8:49;CS10;c1;NA;interrow;oat;16988.8201364515;12642.236741527;83578.225621921
423;21_04_18_CS10_1;7;2;6098.8;5707.2;55.5;783.039959468939;0.329112342724269;1.76605205697848;34.9;0.049087385212341;0.002454369260617;780;21-04-18;8:50;CS10;a1;NA;interrow;no cover;30977.9232758676;13020.0467789254;69866.9645919106
424;21_04_18_CS10_2;8;2;5104.6;5556;56.7;653.886175270857;0.31972357880768;1.80764218625446;34.9;0.049087385212341;0.002454369260617;840;21-04-18;8:52;CS10;a1;NA;interrow;no cover;25868.4573165702;12648.6169371322;71512.3159155118
425;21_04_18_CS10_3;9;2;5420.1;5644.6;59.1;694.871911455221;0.325222814681694;1.89082244480643;34.9;0.049087385212341;0.002454369260617;540.000000000008;21-04-18;8:54;CS10;b1;NA;interrow;field pea;27489.8981837583;12866.1727654409;74803.0185627143
426;21_04_18_CS10_4;10;2;4970.8;5664.1;63.2;636.504585725792;0.326434050193357;2.03292205316605;34.9;0.049087385212341;0.002454369260617;600;21-04-18;8:56;CS10;b1;NA;interrow;field pea;25180.8224892176;12914.0905763975;80424.6355850186
427;21_04_18_CS10_5;11;2;4796.4;5587.3;62.2;613.848761983943;0.32166553611088;1.99826361210273;34.9;0.049087385212341;0.002454369260617;539.999999999989;21-04-18;8:57;CS10;c1;NA;interrow;oat;24284.5331477355;12725.4429070154;79053.5094820176
428;21_04_18_CS10_6;12;2;4680.8;5589.6;59;598.831484320195;0.321808269344246;1.8873566007001;34.9;0.049087385212341;0.002454369260617;540.000000000003;21-04-18;8:58;CS10;c1;NA;interrow;oat;23690.4331025788;12731.0895909409;74665.9059524142
429;21_04_18_CS10_1;13;2;7010.7;5917.1;52.6;901.502377302606;0.342178149884918;1.66554257789485;34.9;0.049087385212341;0.002454369260617;1380;21-04-18;9:00;CS10;a1;NA;interrow;no cover;35664.4270057845;13536.9445015326;65890.6988932076
430;21_04_18_CS10_2;14;2;5606.1;5579.2;51.6;719.034659253293;0.321162903363149;1.63088413683153;34.9;0.049087385212341;0.002454369260617;1439.99999999999;21-04-18;9:02;CS10;a1;NA;interrow;no cover;28445.8031007059;12705.5582018904;64519.5727902065
431;21_04_18_CS10_3;15;2;6150.3;5679.7;54.8;789.730182649588;0.327403272638132;1.74179114823415;34.9;0.049087385212341;0.002454369260617;1080.00000000001;21-04-18;9:03;CS10;b1;NA;interrow;field pea;31242.5958738397;12952.4340838628;68907.1763198099
