"ID";"site";"chamber.nr";"linear.f0";"linear.f0.se";"linear.f0.p";"linear.C0";"linear.AIC";"linear.AICc";"linear.RSE";"linear.r";"linear.diagnostics";"robust.linear.f0";"robust.linear.f0.se";"robust.linear.f0.p";"robust.linear.C0";"robust.linear.weights";"robust.linear.diagnostics";"HMR.f0";"HMR.f0.se";"HMR.f0.p";"HMR.kappa";"HMR.phi";"HMR.AIC";"HMR.AICc";"HMR.RSE";"HMR.diagnostics";"day";"month";"year";"f.detect.n2o";"f.detect.co2";"f.detect.ch4";"t.meas";"kappa.max";"dynamic.kappa.f0";"flux.se";"flux.p";"method";"date";"time";"treatment_fact2";"height [cm]";"diameter [cm]";"treatment_fact1";"sub_factor";"treatment_fact3";"block"
"21_03_18_CS9_1";"CS9";1;0.000537976417819609;0.00415225611236595;0.908767589232584;1.25351151520821;-19.2858595932394;Inf;0.0145073858238113;0.0912324107674111;"";0.000537976417819609;0.00415225611236595;0.908767589232584;1.25351151520821;"1,1,1,1";"";-0.972989231545309;7.33204693857181e+75;1;715.521193003492;1.25264765859094;-17.7985952188446;-57.7985952188446;0.0192428492459909;"";"21";"03";"18";0.01;0.01;0.007;0.75;0.102471698632307;0.000537976417819609;0.00415225611236595;0.908767589232584;"robust linear";2018-03-21;"14:45";"oreg-1-R";16;30;"oregano";"down";"berm";"1"
"21_03_18_CS9_10";"CS9";10;-0.0163940960466128;0.00793248463702336;0.17472122704416;1.27859053323129;-14.8242410251313;Inf;0.0253393926840814;-0.82527877295584;"";-0.0173853812169865;0.00872456241824917;0.172912342495657;1.28425501991914;"1,0.58,1,1";"";-4.97881879335871;1.20373907955347e+44;1;421.421707014479;1.22658270066501;-15.8121684178086;-55.8121684178086;0.0246664217174063;"";"21";"03";"18";0.01;0.01;0.007;0.75;-3.12268496125958;-0.0173853812169865;0.00872456241824917;0.172912342495657;"robust linear";2018-03-21;"14:47";"oreg-3-R";17.5;30;"oregano";"down";"berm";"3"
"21_03_18_CS9_11";"CS9";11;-0.040649107668382;0.00713688911415559;0.0294700391326328;1.24664718193498;-14.8268714970716;Inf;0.02533106223354;-0.970529960867367;"";-0.040649107668382;0.00713688911415559;0.0294700391326328;1.24664718193498;"1,1,1,1";"";-0.0851338372638405;0.0199846970419369;0.146785283759215;2.26473212478233;1.02617644030181;-21.4999771215174;-61.4999771215174;0.0121152717652651;"";"21";"03";"18";0.01;0.01;0.007;0.75;-7.7426871749299;-0.040649107668382;0.00713688911415559;0.0294700391326328;"robust linear";2018-03-21;"14:50";"gmt-3-R";15.75;30;"greek mountain tea";"down";"berm";"3"
"21_03_18_CS9_12";"CS9";12;-0.0358952644189887;0.00589645443810764;0.0259387754038911;1.23574652451488;-10.1475663700732;Inf;0.0454650791373759;-0.974061224596109;"";-0.0358952644189887;0.00589645443810764;0.0259387754038911;1.23574652451488;"1,1,1,1";"";-0.0724476733981297;0.0130035107021049;0.113061930880758;2.13178076961827;0.800068909172033;-18.4986641197296;-58.4986641197296;0.0176305097781402;"";"21";"03";"18";0.01;0.01;0.007;0.75;-6.83719322266451;-0.0358952644189887;0.00589645443810764;0.0259387754038911;"robust linear";2018-03-21;"14:51";"tym-3-S";7.25;30;"thyme";"down";"interrow";"3"
"21_03_18_CS9_13";"CS9";13;-0.00814421151598009;0.000933863868708192;0.0128945222524153;1.28608609956076;-28.9210144558714;Inf;0.00435038144200512;-0.987105477747585;"";-0.00814421151598009;0.000933863868708192;0.0128945222524153;1.28608609956076;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;-1.55127838399621;-0.00814421151598009;0.000933863868708192;0.0128945222524153;"robust linear";2018-03-21;"14:53";"oreg-1-S";12;30;"oregano";"up";"interrow";"1"
"21_03_18_CS9_14";"CS9";14;-0.0123676455284899;0.00305885064576802;0.0560748426033289;1.29800893173506;-21.4767707155908;Inf;0.0110319322208974;-0.943925157396672;"";-0.0123676455284899;0.00305885064576802;0.0560748426033289;1.29800893173506;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;-2.35574200542665;-0.0123676455284899;0.00305885064576802;0.0560748426033289;"robust linear";2018-03-21;"14:55";"tym-1-R";15.5;30;"thyme";"up";"berm";"1"
"21_03_18_CS9_15";"CS9";15;-0.0180332836636213;0.00352873997837347;0.0362227011348215;1.27026541840641;-19.3751481479727;Inf;0.0143463681210259;-0.963777298865178;"";-0.0180332836636213;0.00352873997837347;0.0362227011348215;1.27026541840641;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;-3.43491117402311;-0.0180332836636213;0.00352873997837347;0.0362227011348215;"robust linear";2018-03-21;"15:50";"gmt-1-S";13.75;30;"greek mountain tea";"up";"interrow";"1"
"21_03_18_CS9_16";"CS9";16;-0.0170771642373365;0.00181092955764879;0.0110591153563537;1.27370469691823;-27.2991540234394;Inf;0.00532810735969252;-0.988940884643646;"";-0.0170771642373365;0.00181092955764879;0.0110591153563537;1.27370469691823;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"21";"03";"18";0.01;0.01;0.007;0.75;-3.2527931880641;-0.0170771642373365;0.00181092955764879;0.0110591153563537;"robust linear";2018-03-21;"15:51";"ctrl-1-R";19;30;"control";"up";"berm";"1"
"21_03_18_CS9_17";"CS9";17;-0.00680518574871306;0.00616184945081591;0.384511005273207;1.27943682777125;-15.059807332653;Inf;0.0246041325699002;-0.615488994726792;"";-0.00680518574871306;0.00616184945081591;0.384511005273207;1.27943682777125;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"21";"03";"18";0.01;0.01;0.007;0.75;-1.29622585689773;-0.00680518574871306;0.00616184945081591;0.384511005273207;"robust linear";2018-03-21;"15:53";"tym-2-S";14;30;"thyme";"up";"interrow";"2"
"21_03_18_CS9_18";"CS9";18;-0.00420279834143889;0.00460620453793659;0.457862523451621;1.24022905273655;-15.9859567064237;Inf;0.0219144392874345;-0.542137476548382;"";-0.00269243404337067;0.00103203533149494;0.102534183696301;1.22737488849767;"1,0.096,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;-0.800533017416932;-0.00269243404337067;0.00103203533149494;0.102534183696301;"robust linear";2018-03-21;"15:55";"ctrl-2-S";11.75;30;"control";"up";"interrow";"2"
