"ID";"site";"chamber.nr";"linear.f0";"linear.f0.se";"linear.f0.p";"linear.C0";"linear.AIC";"linear.AICc";"linear.RSE";"linear.r";"linear.diagnostics";"robust.linear.f0";"robust.linear.f0.se";"robust.linear.f0.p";"robust.linear.C0";"robust.linear.weights";"robust.linear.diagnostics";"HMR.f0";"HMR.f0.se";"HMR.f0.p";"HMR.kappa";"HMR.phi";"HMR.AIC";"HMR.AICc";"HMR.RSE";"HMR.diagnostics";"day";"month";"year";"f.detect.n2o";"f.detect.co2";"f.detect.ch4";"t.meas";"kappa.max";"dynamic.kappa.f0";"flux.se";"flux.p";"method";"date";"time";"treatment_fact2";"height [cm]";"diameter [cm]";"treatment_fact1";"sub_factor";"treatment_fact3";"block"
"21_03_18_CS9_1";"CS9";1;0.326254383965985;0.0103023037488985;0.00099565069899015;0.892593235456878;-12.0161339363525;Inf;0.0359947679802934;0.99900434930101;"";0.326254383965985;0.0103023037488985;0.00099565069899015;0.892593235456878;"1,1,1,1";"";0.377347121030712;0.00808417361321869;0.0136366685119999;0.396952758046396;6.80839675686026;-25.5032305360372;-65.5032305360372;0.00734529600731176;"";"21";"03";"18";0.01;0.01;0.007;0.75;62.1436921839971;0.377347121030712;0.00808417361321869;0.0136366685119999;"HMR";2018-03-21;"14:45";"oreg-1-R";16;30;"oregano";"down";"berm";"1"
"21_03_18_CS9_10";"CS9";10;0.154104253139459;0.015997449073127;0.0106052390195997;0.843318913686589;-9.21253727441772;Inf;0.0511019765630043;0.9893947609804;"";0.154104253139459;0.015997449073127;0.0106052390195997;0.843318913686589;"1,1,1,1";"";0.244392771560529;0.00124630997689815;0.00324649002857962;1.32982266901533;1.85623440639862;-42.8875660533164;-82.8875660533164;0.000836121091305722;"";"21";"03";"18";0.01;0.01;0.007;0.75;29.3531910741827;0.244392771560529;0.00124630997689815;0.00324649002857962;"HMR";2018-03-21;"14:47";"oreg-3-R";17.5;30;"oregano";"down";"berm";"3"
"21_03_18_CS9_11";"CS9";11;0.363122568879472;0.0350609582989795;0.00919431091705876;0.90709941711692;-2.09238166408165;Inf;0.124442358909212;0.990805689082941;"";0.363122568879472;0.0350609582989795;0.00919431091705876;0.90709941711692;"1,1,1,1";"";0.558925179383689;0.0162704330145878;0.0185269073613695;1.23694301303507;3.68543667648364;-21.3243193218089;-61.3243193218089;0.0123842315119283;"";"21";"03";"18";0.01;0.01;0.007;0.75;69.1662035960899;0.558925179383689;0.0162704330145878;0.0185269073613695;"HMR";2018-03-21;"14:50";"gmt-3-R";15.75;30;"greek mountain tea";"down";"berm";"3"
"21_03_18_CS9_12";"CS9";12;0.279391760891613;0.0262368981678342;0.00870360022146516;1.11234160575586;1.7949577854597;Inf;0.202301682144886;0.991296399778535;"";0.279391760891613;0.0262368981678342;0.00870360022146516;1.11234160575586;"1,1,1,1";"";0.42524259904267;0.0109052846051219;0.0163224439012874;1.20217883714084;5.84412147136215;-18.2557257205849;-58.2557257205849;0.0181741128607295;"";"21";"03";"18";0.01;0.01;0.007;0.75;53.2174782650691;0.42524259904267;0.0109052846051219;0.0163224439012874;"HMR";2018-03-21;"14:51";"tym-3-S";7.25;30;"thyme";"down";"interrow";"3"
"21_03_18_CS9_13";"CS9";13;0.360177021492023;0.03864718890556;0.0113183082977288;1.02241589844785;0.862174684478668;Inf;0.180036961525225;0.988681691702271;"";0.360177021492023;0.03864718890556;0.0113183082977288;1.02241589844785;"1,1,1,1";"";0.567230811474924;0.0980520048729615;0.108969785005619;1.3098039767027;4.50698527248224;-4.91077026069582;-44.9107702606958;0.0963625502978704;"";"21";"03";"18";0.01;0.01;0.007;0.75;68.6051469508614;0.567230811474924;0.0980520048729615;0.108969785005619;"HMR";2018-03-21;"14:53";"oreg-1-S";12;30;"oregano";"up";"interrow";"1"
"21_03_18_CS9_14";"CS9";14;0.459491477817947;0.0442776470789651;0.00915832286759303;0.981465024795332;-0.0972448784016011;Inf;0.159690046374695;0.990841677132407;"";0.459491477817947;0.0442776470789651;0.00915832286759303;0.981465024795332;"1,1,1,1";"";0.705674300445092;0.0436835715266019;0.0393586449163067;1.23030783281391;4.56618800614861;-13.283377289419;-53.283377289419;0.0338365562927163;"";"21";"03";"18";0.01;0.01;0.007;0.75;87.5221862510375;0.705674300445092;0.0436835715266019;0.0393586449163067;"HMR";2018-03-21;"14:55";"tym-1-R";15.5;30;"thyme";"up";"berm";"1"
"21_03_18_CS9_15";"CS9";15;0.506566721555015;0.0402556028830027;0.00625588954968317;1.01622116214132;0.0993185372342067;Inf;0.163662299130237;0.993744110450317;"";0.506566721555015;0.0402556028830027;0.00625588954968317;1.01622116214132;"1,1,1,1";"";0.710854730643267;0.0949261572976817;0.0845129755169687;0.95601222922718;6.3124754948538;-5.61870376157791;-45.6187037615779;0.0882016752097476;"";"21";"03";"18";0.01;0.01;0.007;0.75;96.4888993438125;0.710854730643267;0.0949261572976817;0.0845129755169687;"HMR";2018-03-21;"15:50";"gmt-1-S";13.75;30;"greek mountain tea";"up";"interrow";"1"
"21_03_18_CS9_16";"CS9";16;0.411220297780767;0.0296869517595905;0.00517134009455259;0.878885209102596;-4.92421535647728;Inf;0.0873447923410542;0.994828659905447;"";0.411220297780767;0.0296869517595905;0.00517134009455259;0.878885209102596;"1,1,1,1";"";0.563401841996541;0.0578040101555773;0.0650882934082734;0.884477483237156;4.17084946107691;-12.0435750410979;-52.0435750410979;0.0395085477092963;"";"21";"03";"18";0.01;0.01;0.007;0.75;78.3276757677651;0.563401841996541;0.0578040101555773;0.0650882934082734;"HMR";2018-03-21;"15:51";"ctrl-1-R";19;30;"control";"up";"berm";"1"
"21_03_18_CS9_17";"CS9";17;0.241867786106561;0.026743958508766;0.0120065571776071;0.908370513570949;-3.31635429514403;Inf;0.106788052166133;0.987993442822393;"";0.241867786106561;0.026743958508766;0.0120065571776072;0.908370513570949;"1,1,1,1";"";0.393588137772952;0.0361036865089351;0.0582339155706568;1.41216046958966;2.82183108323713;-14.3203660777626;-54.3203660777626;0.0297229111204959;"";"21";"03";"18";0.01;0.01;0.007;0.75;46.0700544964878;0.393588137772952;0.0361036865089351;0.0582339155706568;"HMR";2018-03-21;"15:53";"tym-2-S";14;30;"thyme";"up";"interrow";"2"
"21_03_18_CS9_18";"CS9";18;0.366496279717613;0.0197809767070006;0.00290043843825582;0.923879064861716;-4.32742473658551;Inf;0.0941098054855174;0.997099561561744;"";0.366496279717613;0.0197809767070006;0.00290043843825582;0.923879064861716;"1,1,1,1";"";0.458721160735165;0.0514905775735985;0.0711614862818873;0.620671514686786;7.15272004276669;-8.63843454184186;-48.6384345418419;0.0604707398139803;"";"21";"03";"18";0.01;0.01;0.007;0.75;69.8088151843072;0.458721160735165;0.0514905775735985;0.0711614862818873;"HMR";2018-03-21;"15:55";"ctrl-2-S";11.75;30;"control";"up";"interrow";"2"
"21_03_18_CS9_19";"CS9";19;0.416509126270882;0.0397430711631122;0.00898238052473918;0.924006915727858;-2.37704617209517;Inf;0.12009217399369;0.991017619475261;"";0.416509126270882;0.0397430711631122;0.00898238052473918;0.924006915727858;"1,1,1,1";"";0.63554685532855;0.0528904471158431;0.052857935372852;1.21052340008795;3.67550083110597;-13.1331409459781;-53.1331409459781;0.0344779954701897;"";"21";"03";"18";0.01;0.01;0.007;0.75;79.3350716706441;0.63554685532855;0.0528904471158431;0.052857935372852;"HMR";2018-03-21;"15:56";"gmt-2-R";18.5;30;"greek mountain tea";"up";"berm";"2"
"21_03_18_CS9_2";"CS9";2;0.423798026345848;0.0375956123362722;0.00777797336665798;0.963856111254164;0.00113950374955873;Inf;0.161666047768527;0.992222026633342;"";0.423798026345848;0.0375956123362722;0.00777797336665798;0.963856111254164;"1,1,1,1";"";0.630616076220485;0.00268914216006134;0.00271472732382189;1.1325675606581;5.12958990594997;-34.0017303708479;-74.0017303708479;0.0025389424345629;"";"21";"03";"18";0.01;0.01;0.007;0.75;80.7234335896854;0.630616076220485;0.00268914216006134;0.00271472732382189;"HMR";2018-03-21;"15:58";"tym-1-S";13;30;"thyme";"down";"interrow";"1"
"21_03_18_CS9_20";"CS9";20;0.303792087770361;0.0237637837929718;0.00606337322929461;0.892080383400387;-5.0757827722881;Inf;0.0857055418769239;0.993936626770705;"";0.303792087770361;0.0237637837929718;0.00606337322929461;0.892080383400387;"1,1,1,1";"";0.425891729257415;0.0506743200886445;0.0753931427376231;0.953028245039142;3.71605593708686;-11.5930880245312;-51.5930880245312;0.0417971402981709;"";"21";"03";"18";0.01;0.01;0.007;0.75;57.8651595753068;0.425891729257415;0.0506743200886445;0.0753931427376231;"HMR";2018-03-21;"15:17";"oreg-2-R";15.5;30;"oregano";"up";"berm";"2"
"21_03_18_CS9_21";"CS9";21;0.445763189531161;0.0500327536571732;0.0123647929508239;0.99054002401074;0.626348695143062;Inf;0.174807247310844;0.987635207049176;"";0.445763189531161;0.0500327536571732;0.0123647929508239;0.99054002401074;"1,1,1,1";"";0.729098223894388;0.0777726025390916;0.0676521476957652;1.42858724072466;4.05420013783327;-9.27885939297791;-49.2788593929779;0.0558185639991238;"";"21";"03";"18";0.01;0.01;0.007;0.75;84.9072741964116;0.729098223894388;0.0777726025390916;0.0676521476957652;"HMR";2018-03-21;"15:19";"ctrl-3-R";16;30;"control";"up";"berm";"3"
"21_03_18_CS9_22";"CS9";22;0.34474826843997;0.0238608704468581;0.00475621366873635;0.889318322235674;-2.82727118504483;Inf;0.113520273024448;0.995243786331264;"";0.34474826843997;0.0238608704468581;0.00475621366873635;0.889318322235674;"1,1,1,1";"";0.468240321053616;0.0390256933640804;0.052937003303474;0.858635645065917;5.45065222638951;-11.2942714457854;-51.2942714457854;0.0433878737600321;"";"21";"03";"18";0.01;0.01;0.007;0.75;65.6663368457085;0.468240321053616;0.0390256933640804;0.052937003303474;"HMR";2018-03-21;"15:20";"oreg-3-S";11.75;30;"oregano";"up";"interrow";"3"
