"ID";"site";"chamber.nr";"linear.f0";"linear.f0.se";"linear.f0.p";"linear.C0";"linear.AIC";"linear.AICc";"linear.RSE";"linear.r";"linear.diagnostics";"robust.linear.f0";"robust.linear.f0.se";"robust.linear.f0.p";"robust.linear.C0";"robust.linear.weights";"robust.linear.diagnostics";"HMR.f0";"HMR.f0.se";"HMR.f0.p";"HMR.kappa";"HMR.phi";"HMR.AIC";"HMR.AICc";"HMR.RSE";"HMR.diagnostics";"day";"month";"year";"f.detect.n2o";"f.detect.co2";"f.detect.ch4";"t.meas";"kappa.max";"dynamic.kappa.f0";"flux.se";"flux.p";"method";"date";"time";"treatment_fact2";"height [cm]";"diameter [cm]";"treatment_fact1";"sub_factor";"treatment_fact3";"block"
"21_03_18_CS9_1";"CS9";1;-0.00128690140594613;0.000739376881229191;0.223894683648837;0.60042072014146;-33.0906542169131;Inf;0.00258327651159414;-0.776105316351163;"";-0.00128690140594613;0.000739376881229191;0.223894683648837;0.60042072014146;"1,1,1,1";"";-0.0101538484650655;0.00742873712029473;0.402109664366232;9.2988956847309;0.595513587411199;-42.1518825782454;-82.1518825782454;0.000916657482671839;"";"21";"03";"18";0.01;0.01;0.007;0.75;-0.171586854126151;-0.00128690140594613;0.000739376881229191;0.223894683648837;"robust linear";2018-03-21;"14:45";"oreg-1-R";16;30;"oregano";"down";"berm";"1"
"21_03_18_CS9_10";"CS9";10;-0.000230752120525672;0.00144008829618386;0.887417295139663;0.597012396222261;-28.4743360591936;Inf;0.00460019331981281;-0.112582704860358;"";-0.000230752120525672;0.00144008829618386;0.887417295139663;0.597012396222261;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"21";"03";"18";0.01;0.01;0.007;0.75;-0.0307669494034229;-0.000230752120525672;0.00144008829618386;0.887417295139663;"robust linear";2018-03-21;"14:47";"oreg-3-R";17.5;30;"oregano";"down";"berm";"3"
"21_03_18_CS9_11";"CS9";11;0.00358555861927409;0.00129628705877743;0.109626498797993;0.59222466512765;-28.4730548069609;Inf;0.0046009301298089;0.890373501202011;"";0.00358555861927409;0.00129628705877743;0.109626498797993;0.59222466512765;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;0.478074482569879;0.00358555861927409;0.00129628705877743;0.109626498797993;"robust linear";2018-03-21;"14:50";"gmt-3-R";15.75;30;"greek mountain tea";"down";"berm";"3"
"21_03_18_CS9_12";"CS9";12;0.00188081342562787;0.000173939340533814;0.00844453654564547;0.600883360128293;-38.3347654560751;Inf;0.00134117306687963;0.991555463454355;"";0.00188081342562787;0.000173939340533814;0.00844453654564547;0.600883360128293;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;0.250775123417049;0.00188081342562787;0.000173939340533814;0.00844453654564547;"robust linear";2018-03-21;"14:51";"tym-3-S";7.25;30;"thyme";"down";"interrow";"3"
"21_03_18_CS9_13";"CS9";13;0.000620756403737001;0.00150351080612425;0.719754599612312;0.600291550346553;-25.1111943522171;Inf;0.00700406743208192;0.280245400387683;"";0.000691858023163219;0.00215023246967413;0.774421589966265;0.599699036851335;"1,0.83,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"21";"03";"18";0.01;0.01;0.007;0.75;0.0827675204982668;0.000691858023163219;0.00215023246967413;0.774421589966265;"robust linear";2018-03-21;"14:53";"oreg-1-S";12;30;"oregano";"up";"interrow";"1"
"21_03_18_CS9_14";"CS9";14;0.000884880952025988;0.000591189016675693;0.273128995987076;0.593417886427526;-34.6260405314897;Inf;0.00213215940135178;0.726871004012919;"";0.000884880952025988;0.000591189016675693;0.273128995987076;0.593417886427526;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;0.117984126936798;0.000884880952025988;0.000591189016675693;0.273128995987076;"robust linear";2018-03-21;"14:55";"tym-1-R";15.5;30;"thyme";"up";"berm";"1"
"21_03_18_CS9_15";"CS9";15;0.0013109601280522;0.000155378698580835;0.0137584191740039;0.593393653122189;-44.3577944343869;Inf;0.000631704240513086;0.986241580825995;"";0.0013109601280522;0.000155378698580835;0.0137584191740039;0.593393653122189;"1,1,1,1";"";0.00212606554739151;0.00034507821976314;0.102435427099128;1.39816053051388;0.604025972233926;-51.3541840350004;-91.3541840350004;0.000290163976951465;"";"21";"03";"18";0.01;0.01;0.007;0.75;0.174794683740293;0.0013109601280522;0.000155378698580835;0.0137584191740039;"robust linear";2018-03-21;"15:50";"gmt-1-S";13.75;30;"greek mountain tea";"up";"interrow";"1"
"21_03_18_CS9_16";"CS9";16;0.00191216050708894;0.00189168500911403;0.418506084289229;0.598967765000766;-26.9501325043067;Inf;0.00556570562157402;0.581493915710769;"";0.00191216050708894;0.00189168500911403;0.418506084289229;0.598967765000766;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Element (3, 3) ist Null, deshalb kann Inverse nicht berechnet werden";"21";"03";"18";0.01;0.01;0.007;0.75;0.254954734278526;0.00191216050708894;0.00189168500911403;0.418506084289229;"robust linear";2018-03-21;"15:51";"ctrl-1-R";19;30;"control";"up";"berm";"1"
"21_03_18_CS9_17";"CS9";17;-0.000215470419659502;0.00153195388758351;0.901033172547197;0.600614338745583;-26.1944713056849;Inf;0.00611705898398537;-0.0989668274528059;"";-0.000215470419659502;0.00153195388758351;0.901033172547197;0.600614338745583;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"21";"03";"18";0.01;0.01;0.007;0.75;-0.0287293892879336;-0.000215470419659502;0.00153195388758351;0.901033172547197;"robust linear";2018-03-21;"15:53";"tym-2-S";14;30;"thyme";"up";"interrow";"2"
"21_03_18_CS9_18";"CS9";18;0.00139478051231103;0.000441506308267752;0.0872801891078462;0.596055691806078;-34.745694130723;Inf;0.00210050663357802;0.912719810892155;"";0.0015232770585523;0.000171015764238755;0.0103804158394034;0.596329088712975;"1,1,0.17,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;0.185970734974804;0.0015232770585523;0.000171015764238755;0.0103804158394034;"robust linear";2018-03-21;"15:55";"ctrl-2-S";11.75;30;"control";"up";"interrow";"2"
"21_03_18_CS9_19";"CS9";19;0.00308779380527597;0.000850203566337311;0.0681545219119348;0.597549855876008;-33.13476604335;Inf;0.00256907157978781;0.931845478088066;"";0.00308779380527597;0.000850203566337311;0.0681545219119348;0.597549855876008;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;0.411705840703463;0.00308779380527597;0.000850203566337311;0.0681545219119348;"robust linear";2018-03-21;"15:56";"gmt-2-R";18.5;30;"greek mountain tea";"up";"berm";"2"
"21_03_18_CS9_2";"CS9";2;0.00120261597072097;0.000670651066921045;0.214803025561206;0.590048961761334;-32.2100096735436;Inf;0.0028838872592658;0.785196974438792;"";0.00120261597072097;0.000670651066921045;0.214803025561206;0.590048961761334;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"21";"03";"18";0.01;0.01;0.007;0.75;0.160348796096129;0.00120261597072097;0.000670651066921045;0.214803025561206;"robust linear";2018-03-21;"15:58";"tym-1-S";13;30;"thyme";"down";"interrow";"1"
