ID;site;chamber.nr;linear.f0;robust.linear.f0;HMR.f0;dynamic.kappa.f0;date;treatment_fact1;treatment_fact2;treatment_fact3;block;sub_factor
21_03_18_CS9_1;CS9;1;-0.001286901405946;-0.001286901405946;-0.010153848465066;-0.001286901405946;2018-03-21;oregano;oreg-1-R;berm;1;down
21_03_18_CS9_10;CS9;10;-0.000230752120526;-0.000230752120526;NA;-0.000230752120526;2018-03-21;oregano;oreg-3-R;berm;3;down
21_03_18_CS9_11;CS9;11;0.003585558619274;0.003585558619274;NA;0.003585558619274;2018-03-21;greek mountain tea;gmt-3-R;berm;3;down
21_03_18_CS9_12;CS9;12;0.001880813425628;0.001880813425628;NA;0.001880813425628;2018-03-21;thyme;tym-3-S;interrow;3;down
21_03_18_CS9_13;CS9;13;0.000620756403737;0.000691858023163;NA;0.000691858023163;2018-03-21;oregano;oreg-1-S;interrow;1;up
21_03_18_CS9_14;CS9;14;0.000884880952026;0.000884880952026;NA;0.000884880952026;2018-03-21;thyme;tym-1-R;berm;1;up
21_03_18_CS9_15;CS9;15;0.001310960128052;0.001310960128052;0.002126065547392;0.001310960128052;2018-03-21;greek mountain tea;gmt-1-S;interrow;1;up
21_03_18_CS9_16;CS9;16;0.001912160507089;0.001912160507089;NA;0.001912160507089;2018-03-21;control;ctrl-1-R;berm;1;up
21_03_18_CS9_17;CS9;17;-0.00021547041966;-0.00021547041966;NA;-0.00021547041966;2018-03-21;thyme;tym-2-S;interrow;2;up
21_03_18_CS9_18;CS9;18;0.001394780512311;0.001523277058552;NA;0.001523277058552;2018-03-21;control;ctrl-2-S;interrow;2;up
21_03_18_CS9_19;CS9;19;0.003087793805276;0.003087793805276;NA;0.003087793805276;2018-03-21;greek mountain tea;gmt-2-R;berm;2;up
21_03_18_CS9_2;CS9;2;0.001202615970721;0.001202615970721;NA;0.001202615970721;2018-03-21;thyme;tym-1-S;interrow;1;down
21_03_18_CS9_20;CS9;20;0.001254346545916;0.001254346545916;NA;0.001254346545916;2018-03-21;oregano;oreg-2-R;berm;2;up
21_03_18_CS9_21;CS9;21;0.002514298834124;0.002590524246483;NA;0.002590524246483;2018-03-21;control;ctrl-3-R;berm;3;up
21_03_18_CS9_22;CS9;22;0.002574827162856;0.002574827162856;NA;0.002574827162856;2018-03-21;oregano;oreg-3-S;interrow;3;up
